Name;Producer;Grape;Classification;Alcohol;Year;Aging;Price
Il Palagione Chianti Colli Senesi Draco Riserva 2017;Il Palagione;Sangiovese;DOCG Chianti Colli Senesi Riserva;14.00;2017;Aged in wood;15.58
Castello d'Albola Chianti Classico 2018;Castello di Albola;Sangiovese;DOCG Chianti Classico;13.00;2018;Aged in wood;11.11
Badia di Morrona N'Antia Toscana Rosso 2017;Badia di Morrona;Blend Red;IGT Toscano o Toscana;14.50;2017;Aged in wood;18.00
Poggio Bonelli Tramonto d'Oca 2015;Poggio Bonelli;Petit Verdot;IGT Toscano o Toscana;14.00;2015;Aged in wood;23.00
Vecchie Terre di Montefili Montefili 2017;Vecchie Terre di Montefili;Blend Red;IGT Toscano o Toscana;13.50;2017;Aged in barrique;14.77
Poggio di Sotto Brunello di Montalcino Riserva 2015;Poggio di Sotto;Sangiovese;DOCG Brunello di Montalcino Riserva;13.00;2015;Aged in wood;286.70
Frescobaldi Giramonte 2017;Marchesi Frescobaldi;Blend Red;IGT Toscano o Toscana;14.00;2017;Aged in barrique;98.82
Castello dei Rampolla Sangiovese di S. Lucia 2019;Castello dei Rampolla;Sangiovese;IGT Toscano o Toscana;13.50;2019;No oak/wood;30.74
Podere Forte Corfiero 2018;Podere Forte;Blend Red;IGT Toscano o Toscana;14.00;2018;Aged in barrique;48.80
La Serena Brunello di Montalcino Gemini Riserva 2012;La Serena;Sangiovese;DOCG Brunello di Montalcino Riserva;15.00;2012;Aged in wood;97.47
Lamole di Lamole Chianti Classico Etichetta Blu 2018;Lamole di Lamole;Blend Red;DOCG Chianti Classico;14.00;2018;Aged in barrique;16.99
Cupano Brunello di Montalcino Riserva 2015;Cupano;Sangiovese;DOCG Brunello di Montalcino Riserva;14.50;2015;Aged in wood;142.74
Salcheto Nobile di Montepulciano Salco 2015;Salcheto;Sangiovese Grosso;DOCG Vino Nobile di Montepulciano;14.00;2015;Aged in wood;31.99
Tenuta Moraia Perpiero 2016;Tenuta Moraia (Tenute Piccini);Blend Red;IGT Toscano o Toscana;14.00;2016;Aged in barrique;74.99
Banfi Chianti Classico Gran Selezione Fonte alla Selva 2015;Banfi;Sangiovese;DOCG Chianti Classico Gran Selezione;14.00;2015;Aged in wood;19.02
Poggio Antico Brunello di Montalcino Riserva 2010;Poggio Antico;Sangiovese;DOCG Brunello di Montalcino Riserva;14.00;2010;Aged in wood;156.16
Villa Poggio Salvi Brunello di Montalcino Riserva 2015;Villa Poggio Salvi;Sangiovese Grosso;DOCG Brunello di Montalcino Riserva;15.00;2015;Aged in wood;59.00
Tenuta Corte Pavone Brunello di Montalcino 2015;Loacker Wine Estates;Sangiovese;DOCG Brunello di Montalcino;15.00;2015;Aged in wood;48.07
Bertinga Toscana Rosso Bertinga 2016;Bertinga;Blend Red;IGT Toscano o Toscana;14.00;2016;Aged in wood;42.70
Ghizzano Nambrot 2017;Tenuta Ghizzano;Blend Red;IGT Toscano o Toscana;14.00;2017;Aged in wood;42.00
Uggiano Falconeri 2017;Uggiano;Blend Red;IGT Toscano o Toscana;14.00;2017;Aged in barrique;21.96
Grillesino Maremma Toscana Ceccante 2017;Grillesino;Cabernet Sauvignon;DOC Maremma Toscana Cabernet Sauvignon;14.50;2017;Aged in barrique;15.99
Gualandi Chianti Montebetti 2018;Gualandi;Blend Red;DOCG Chianti Colli Fiorentini;13.50;2018;Aged in wood;8.78
Brancaia Ilatraia 2017;Brancaia;Blend Red;IGT Toscano o Toscana;14.50;2017;Aged in barrique;41.00
